table_name , partition_name ,subpartition_name , num_rows , sample_size , last_analyzed , global_stats , stale_stats
FT_T_ACCM,,,0,0,09-MAY-17,YES,NO
FT_T_ACCO,,,0,0,09-MAY-17,YES,NO
FT_T_ACCP,,,0,0,09-MAY-17,YES,NO
FT_T_ACCR,,,53,53,28-FEB-18,YES,NO
FT_T_ACCT,,,809,809,08-MAR-18,YES,NO
FT_T_ACCV,,,0,0,09-MAY-17,YES,NO
FT_T_ACDC,,,0,0,09-MAY-17,YES,NO
FT_T_ACDD,,,0,0,09-MAY-17,YES,NO
FT_T_ACDE,,,0,0,05-MAR-18,YES,NO
FT_T_ACDL,,,0,0,09-MAY-17,YES,NO
FT_T_ACDR,,,0,0,09-MAY-17,YES,NO
FT_T_ACDW,,,0,0,09-MAY-17,YES,NO
FT_T_ACEN,,,0,0,09-MAY-17,YES,NO
FT_T_ACFN,,,0,0,09-MAY-17,YES,NO
FT_T_ACGP,,,838,838,08-MAR-18,YES,NO
FT_T_ACGR,,,10,10,08-MAR-18,YES,NO
FT_T_ACGU,,,751,751,12-JUN-17,YES,NO
FT_T_ACHI,,,0,0,09-MAY-17,YES,NO
FT_T_ACID,,,3582,3582,06-MAR-18,YES,NO
FT_T_ACIN,,,0,0,09-MAY-17,YES,NO
FT_T_ACIP,,,0,0,09-MAY-17,YES,NO
FT_T_ACLP,,,0,0,09-MAY-17,YES,NO
FT_T_ACOH,,,0,0,09-MAY-17,YES,NO
FT_T_ACOH,FT_T_ACOH_P0,,0,,09-MAY-17,YES,NO
FT_T_ACOJ,,,0,0,09-MAY-17,YES,NO
FT_T_ACOJ,FT_T_ACOJ_P0,,0,,09-MAY-17,YES,NO
FT_T_ACOP,,,0,0,09-MAY-17,YES,NO
FT_T_ACOR,,,77,77,09-MAY-17,YES,NO
FT_T_ACOV,,,0,0,09-MAY-17,YES,NO
FT_T_ACPI,,,0,0,09-MAY-17,YES,NO
FT_T_ACRE,,,0,0,09-MAY-17,YES,NO
FT_T_ACRT,,,0,0,09-MAY-17,YES,NO
FT_T_ACST,,,2308,2308,12-JUN-17,YES,NO
FT_T_ACTA,,,386,386,19-MAY-17,YES,NO
FT_T_ACTC,,,0,0,09-MAY-17,YES,NO
FT_T_ACTF,,,0,0,09-MAY-17,YES,NO
FT_T_ACTI,,,0,0,09-MAY-17,YES,NO
FT_T_ACTP,,,2,2,08-MAR-18,YES,NO
FT_T_ACVC,,,0,0,09-MAY-17,YES,NO
FT_T_ACVD,,,0,0,09-MAY-17,YES,NO
FT_T_ACVT,,,0,0,09-MAY-17,YES,NO
FT_T_ADCH,,,0,0,09-MAY-17,YES,NO
FT_T_ADDU,,,0,0,09-MAY-17,YES,NO
FT_T_ADFM,,,0,0,09-MAY-17,YES,NO
FT_T_ADOC,,,0,0,09-MAY-17,YES,NO
FT_T_ADPU,,,0,0,09-MAY-17,YES,NO
FT_T_ADRF,,,0,0,09-MAY-17,YES,NO
